TimeSteps,Delay,FieldStrength,DopplerShift,AoD_Azimuth,AoA_Azimuth,AoD_Elevation,AoA_Elevation
1,18.4134,3.13723e+06,0,274.16,94.1596,92.5957,87.4043,
1,24.5102,527634,5.18784,256.728,179.88,91.9497,88.0502,
1,27.4749,233529,5.89488,258.275,203.75,91.7393,88.2607,
1,18.3922,3.14084e+06,0,273.122,93.1221,92.5987,87.4013,
1,24.1768,534909,5.18745,256.728,179.872,91.9766,88.0234,
1,27.1713,236139,5.92162,258.275,205.059,91.7587,88.2413,
1,18.3771,3.14342e+06,0,272.083,92.0826,92.6008,87.3992,
1,23.8435,542388,5.18701,256.728,179.864,92.0043,87.9957,
1,26.871,238778,5.94936,258.275,206.511,91.7784,88.2216,
1,18.368,3.14498e+06,0,271.042,91.0416,92.6021,87.3979,
1,23.5101,550078,5.18652,256.728,179.854,92.0327,87.9673,
1,26.5748,241439,5.97784,258.275,208.126,91.7982,88.2018,
1,18.0318,3.20362e+06,0,270,90,92.6507,87.3493,
1,23.1887,557703,5.36081,256.728,184.255,92.0609,87.9391,
1,26.4107,407834,5.49774,249.579,182.698,91.8094,88.1906,
1,17.6986,3.26394e+06,0,270,90,92.7006,87.2994,
1,23.2261,556805,5.51898,256.728,188.616,92.0576,87.9424,
1,26.4345,407467,5.60386,249.579,185.483,91.8078,88.1922,
1,17.3654,3.32656e+06,0,270,90,92.7525,87.2475,
1,23.2883,555318,5.65858,256.728,192.88,92.0521,87.9479,
1,26.4743,406854,5.70301,249.579,188.242,91.8051,88.1949,
1,17.0322,3.39164e+06,0,270,90,92.8064,87.1936,
1,23.3743,553274,5.77874,256.728,197.003,92.0445,87.9555,
1,26.5299,406001,5.79473,249.579,190.964,91.8013,88.1987,
1,16.699,3.4593e+06,0,270,90,92.8624,87.1376,
1,23.4828,550719,5.87958,256.728,200.953,92.0351,87.9649,
1,26.601,404916,5.87874,249.579,193.636,91.7964,88.2035,
1,16.3659,3.52971e+06,0,270,90,92.9207,87.0793,
1,23.6122,547701,5.96198,256.728,204.705,92.0239,87.9761,
1,26.687,403612,5.95491,249.579,196.249,91.7907,88.2093,
1,16.0328,3.60305e+06,0,270,90,92.9815,87.0185,
1,23.7609,544273,6.02744,256.728,208.245,92.0113,87.9887,
1,26.7874,402099,6.02327,249.579,198.794,91.7839,88.216,
